DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-10-13 13:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,24,28.7,25.9,53,77,68.25862,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,26.1,29.62,27.83692
2020-10-20 20:00:00,ODAYERI,ICING_SENSOR,17.2,17.88,17.56133,80.1,84.1,81.85,0.654,5.477,1.98025,16,349,170.31667,0,0.22,0.00817,16.4,17.2,16.77667,17.65,19.51,18.61017
2020-10-29 16:00:00,RIVA_TUNEL_G,ICING_SENSOR,15.76,16.35,15.89724,90.4,94,92.6431,0.228,1.042,0.58672,10,352,220.89655,0,0,0,17.6,18.3,17.86724,16.64,18.64,17.72879
2020-10-31 22:00:00,CATALCA_MGM,AUTOMATED_WEATHER_SENSOR,13,14.8,14.12,70,84,75.9,3.2,7.3,4.93,256,345,307.06,-99,-99,-99,-99,-99,-99,11.72,14.73,13.3496
2020-10-16 11:00:00,ESENLER,ICING_SENSOR,25.28,25.96,25.77055,43.56,48.11,45.81018,0.85,2.77,1.81436,45,302,216.29091,-99,-99,-99,30.1,34.2,32.24545,26.02,26.35,26.266
2020-10-04 09:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,25.9,27.7,26.8,39,49,43.08333,1.3,5.4,3.05167,156,229,188.63333,-99,-99,-99,-99,-99,-99,26.25,27.47,26.87067
2020-10-18 08:00:00,ESENLER,ICING_SENSOR,18.47,19.22,18.87466,81.6,87.6,84.76552,0.85,3.25,1.79069,8,305,95.7069,-99,-99,-99,19.3,19.9,19.72241,19.77,20.64,20.11707
2020-10-17 19:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,20.57,21.31,21.00017,66.32,70.24,67.94424,0.61,2.93,1.45339,39,220,124.05085,0,0,0,17.3,17.3,17.3,22.06,23.08,22.63288
2020-10-10 19:00:00,ESENLER,ICING_SENSOR,19.69,19.83,19.72694,79.66,80.5,79.99583,0,1.01,0.54028,47,298,221.38889,-99,-99,-99,20.4,20.9,20.52778,19.69,21.79,21.09861
2020-10-08 14:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,17.6,18,17.70625,92,96,94.6875,0.5,2.3,1.28125,98,224,144.45833,0,0.3,0.03542,-99,-99,-99,18.49,19.82,19.05125
2020-10-24 01:00:00,KARTAL_AYDOS_DAGI,AUTOMATED_WEATHER_SENSOR,14.6,15.5,14.94,97,99,98.01667,1.2,2.1,1.705,188,228,208.33333,-99,-99,-99,-99,-99,-99,15.06,16.27,15.64
2020-10-22 14:00:00,CAMLICA_TUNEL_K,ICING_SENSOR,18.23,19.13,18.64333,79.35,83.2,81.484,0.635,4.008,2.13433,0,351,82.23333,-99,-99,-99,21.6,24.9,23.285,18.92,20.47,19.65167
2020-10-01 18:00:00,ISTOC_MAHMUTBEY,ICING_SENSOR,17.78,20.11,18.94167,48.42,56.21,52.38683,0,1.97,0.97517,57,313,151.26667,-99,-99,-99,21.4,23.8,22.75167,17.78,21.84,20.409
2020-10-08 09:00:00,KAMILOBA,AUTOMATED_WEATHER_SENSOR,20.45,21.29,20.87483,77.72,81.9,80.19717,2.562,5.775,4.25452,85,135,106.83333,0,0.2,0.01333,-99,-99,-99,21.18,22.29,21.756
2020-10-23 03:00:00,CATALCA,AUTOMATED_WEATHER_SENSOR,15.8,16.1,16.01,88,90,88.38333,2.1,2.8,2.39833,34,100,56.25,0,0,0,-99,-99,-99,16.33,16.63,16.48567
2020-10-14 20:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,17.9,18.7,18.32333,66,70,67.71667,0.4,2,1.08667,6,340,179.88333,0,0,0,-99,-99,-99,19.22,20.63,19.87833
2020-10-30 12:00:00,BAHCESEHIR_I_KULE,ICING_SENSOR,13.26,13.4,13.30324,99.4,99.7,99.52941,1.01,4.77,2.96529,222,341,305.76471,0.34,0.64,0.52118,-99,-99,-99,12.35,14.36,13.35147
